species,genus,group,sucrose,alanin,citrate,glucose,oleic_acid
Fucus_vesiculosus,Fucus,brown,3.0014716364570226,3.711497970474137,5.0042624571376315,2.5484585114389287,6.405164926833721
Saccharina_japonica,Saccharina,brown,6.731069872809602,1.255250812365293,5.621499391153095,6.013219486409244,4.15670028014277
Fucus_serratus,Fucus,brown,3.2768696349899122,0.346431192312627,1.2167668789325283,3.6232247231661923,0.30457279988468133
Fucus_distichus,Fucus,brown,6.786995803199472,6.641303172624768,6.423605526765469,2.272724422633235,3.3932034046031756
Cladophora_fracta,Cladophora,green,3.861470440015607,1.6484497651885315,6.940588141538388,2.316954702253679,2.528886208011127
Cladophora_compacta,Cladophora,green,5.712284241929749,3.4616921918513612,3.0828255905504998,3.34370736128462,1.4325142713709722
Cladophora_gracilis,Cladophora,green,2.452622677714915,6.881023507613001,5.84151971241119,2.74016516153596,2.8290159293027273
Palmaria_palmata,Palmaria,red,0.7045801976911265,3.1764396152693313,5.573905056337811,3.2420900043090093,2.2455382198035028
Saccharina_latissima,Saccharina,brown,1.636121930331476,5.793163135687617,1.0719196865368361,3.947967731676987,4.817804369196299
Ascophyllum_nodosum,Ascophyllum,brown,6.825466724048987,0.8754288344870391,5.253527424637808,3.4149609549234388,2.4325255335326608
