x y
919.9047221905287 1305.4502844971953
902.7705451985021 1305.667185573765
401.656226179854 785.7646014768243
697.0726872216201 1101.4741289710757
898.6560880208662 1296.400179140858
1390.100406797352 395.8812080602886
405.1877959830238 802.4057069441409
401.5444928578702 802.6715632565665
797.1893101020894 996.5337099635195
899.8823591551887 1303.0326823031342
895.567832400815 1305.9453069149292
797.8160990635284 995.2851028407066
1097.673310171494 585.7524804080668
704.8051038598953 1097.8712873057011
1083.8843321040247 607.800341325026
406.1246631648308 806.2095500698725
774.3071996034249 995.5872607782886
902.9035260126474 1289.3285175102094
1192.4825289643272 500.2053918192716
1199.3075754456427 500.3970976525661
406.33989394390204 782.2622661708718
1097.4154009051115 603.7529588935797
903.8416142452617 1271.3526862956173
701.8544495682055 1101.4106047071896
804.9899966763423 999.8436057003986
1206.0639633140884 484.7670511271596
1205.3281302591124 494.1883290982335
903.9191063150223 1303.3005901113124
691.3303240740172 1094.1309046634165
1400.048774899288 417.77144911113345
789.4663404880913 994.4348394912952
392.25676698748185 810.8498622495129
394.7997429103449 815.2668000239502
693.1231317041032 1107.5797907389976
1297.3011913080893 310.38388139074476
1306.188501039233 322.6285854869484
792.954448688334 987.2739068194455
1206.346646097859 497.6515681617076
1290.8828771699632 293.7331731166071
1293.8871861273515 318.1981199320889
1301.590332769091 305.5987229710532
1406.2512243193003 411.57564332190555
1400.969892386259 389.6346937883396
1093.5587741014695 603.9212607060946
1096.6967008784575 599.121852986153
700.2772046008254 1102.381604413442
1390.988787494528 395.95336650289386
1291.2061510156075 322.3058022058097
1190.935485659339 500.32528938878573
1100.8760382884486 606.9698908983554
1112.6035169827205 605.1865869826278
1188.4548363387096 499.52879879876673
708.3820607252967 1104.3586086553678
808.6486066518487 996.6792266712544
399.1517682059841 802.5532783941524
701.1939527422636 1095.5780802588358
790.5480425889954 1006.7814035612672
1092.4420859140796 598.443978866627
1301.742343756806 292.98916952240467
388.04289952528137 797.9450599248597
1397.590944832326 413.39480539989074
1094.3293160954054 607.1325097610076
1212.3729926368853 505.4532601988605
1304.5127109671691 294.0578181106964
1396.4396731567406 390.3787463558561
880.5590299392138 1304.0959172516234
1193.5717173101575 507.7191449159907
1390.5972282133844 401.921668673052
396.21665629092814 819.8473179255291
714.8440556133451 1094.8797747686117
895.9627628250015 1290.4831863189067
697.1189614301509 1107.1320118316128
798.8457037077752 999.3129668726564
799.5313530018278 994.7357964263065
1205.4854863419557 500.6516959359974
1309.9484683600092 303.3980481774311
1395.0437671170541 410.4282732452605
1294.7621221722031 310.33471510734864
1103.2050724717758 584.5518047277432
1390.5130721363926 399.1118747659103
